score,company_jp,company_en
69,田辺三菱製薬,Mitsubishi Tanabe Pharma
69,明治,Meiji
69,ヤクルト本社,Yakult Honsha
69,日清食品,Nissin Food Products
69,クボタ,Kubota
69,豊田自動織機↓,Toyota Industries↓
69,ブリヂストン,Bridgestone
69,東急電鉄,Tokyu Railways
69,ファーストリテイリング(Global),Fast Retailing (Global)
69,京阪神ビルディング,Keihanshin Building
69,住友金属鉱山,Sumitomo Metal Mining
69,ダイダン,Daidan
69,東京メトロ,Tokyo Metro
69,小田急電鉄,Odakyu Electric Railway
69,東武鉄道,Tobu Railway
69,京成電鉄,Keisei Electric Railway
69,三菱倉庫↑,Mitsubishi Logistics↑
69,サンリオ,Sanrio
69,アシックス↑,ASICS↑
69,住友ファーマ↓,Sumitomo Pharma↓
69,伊藤忠テクノソリューションズ↑,ITOCHU Techno-Solutions↑
69,日本総研↑,Japan Research Institute↑
69,ベイカレント(コンサル)↑,BayCurrent Consulting↑
69,アビームコンサルティング↑,ABeam Consulting↑
68,三井住友銀行(OP),SMBC (OP)
68,第一生命,Dai-ichi Life
68,明治安田生命,Meiji Yasuda Life
68,住友生命,Sumitomo Life
68,日本政策金融公庫,JFC
68,岡三証券(部門別),Okasan Securities (Departmental)
68,東海東京証券(部門別),Tokai Tokyo Securities (Departmental)
68,三井住友海上,Mitsui Sumitomo Insurance
68,NEC,NEC
68,村田製作所,Murata Manufacturing
68,三菱電機,Mitsubishi Electric
68,住友電工,Sumitomo Electric
68,東レ,Toray
68,シマノ↓,Shimano↓
68,JX金属,JX Nippon Mining & Metals
68,積水ハウス,Sekisui House
68,コスモエネルギー,Cosmo Energy
68,松竹,Shochiku
68,IHI,IHI
68,江崎グリコ,Ezaki Glico
68,日本ハム,Nipponham
68,キッコーマン,Kikkoman
68,メルカリ,Mercari
68,JAL(総合職)↑,JAL (General)↑
68,ONE,ONE
68,NSユナイテッド海運,NS United Kaiun
68,三井住友ファイナンス＆リース,Sumitomo Mitsui Finance and Leasing
68,三菱HCキャピタル,Mitsubishi HC Capital
68,東京センチュリー,Tokyo Century
68,芙蓉総合リース,Fuyo General Lease
68,伯東,Hakuto
68,JRA↓,JRA↓
68,大阪メトロ,Osaka Metro
68,京王電鉄,Keio Corporation
68,阪神高速道路,Hanshin Expressway
68,構造計画研究所,Kozo Keikaku Engineering
68,GEジャパン,GE Japan
68,テスラジャパン,Tesla Japan
68,メルセデスベンツ日本,Mercedes-Benz Japan
68,ボッシュ日本,Bosch Japan
67,野村證券(OP),Nomura Securities (OP)
67,三井住友カード,Sumitomo Mitsui Card
67,トーア再保険,Toa Reinsurance
67,東芝,Toshiba
67,資生堂↓,Shiseido↓
67,島津製作所,Shimadzu Corporation
67,SMC,SMC
67,ヒロセ電機,Hirose Electric
67,日本光電,Nihon Kohden
67,TDK,TDK
67,オムロン,OMRON
67,ダイキン,Daikin
67,ワコム,Wacom
67,ローム↑,ROHM↑
67,住友重機械工業,Sumitomo Heavy Industries
67,旭化成,Asahi Kasei
67,森永製菓,Morinaga & Co.
67,森永乳業↑,Morinaga Milk Industry↑
67,カゴメ↑,Kagome↑
67,日産化学,Nissan Chemical
67,DMG森精機,DMG Mori
67,アルコニックス↓,Alconix↓
67,岡谷鋼機,Okaya & Co.
67,蝶理,Chori
67,栗田工業,Kurita Water Industries
67,荏原製作所↑,Ebara Corporation↑
67,オルガノ,Organo
67,東洋エンジ二アリング↓,Toyo Engineering↓
67,シスメックス,Sysmex
67,中国電力,Chugoku Electric Power
67,東亜建設工業,Toa Corporation
67,JSR,JSR
67,ソフトバンク,SoftBank
67,NTTコム↓,NTT Com↓
67,参天製薬↑,Santen Pharmaceutical↑
67,エムスリー,M3, Inc.
67,マクニカ,Macnica
67,神鋼商事↑,Shinsho Corporation↑
67,ベネッセ↓,Benesse↓
67,トーメンデバイス,Tomen Devices
67,長谷工↑,Haseko↑
67,日鉄ソリューションズ,NS Solutions
67,フジミインコーポレーテッド,Fujimi Incorporated
67,NEXCO東日本,NEXCO East
67,NEXCO中日本,NEXCO Central
67,NEXCO西日本,NEXCO West
67,成田国際空港,Narita International Airport
67,新関西国際空港,New Kansai International Airport
67,日本HP↑,HP Japan↑
67,日本ロレアル↑,L'Oréal Japan↑
66,みずほFG(OP),Mizuho FG (OP)
66,あおぞら銀行↓,Aozora Bank↓
66,商工中金(総合職),Shoko Chukin Bank (General)
66,大和証券(OP),Daiwa Securities (OP)
66,三菱UFJモルガンスタンレー(OP),Mitsubishi UFJ Morgan Stanley (OP)
66,みずほ証券(OP),Mizuho Securities (OP)
66,松井証券,Matsui Securities
66,損保ジャパン(OP),Sompo Japan (OP)
66,みずほリース,Mizuho Lees
66,いすゞ自動車,Isuzu Motors
66,ニコン,Nikon
66,カシオ計算機,Casio Computer
66,ヤマハ発動機,Yamaha Motor
66,富士電機,Fuji Electric
66,川崎重工,Kawasaki Heavy Industries
66,セイコーエプソン,Seiko Epson
66,きんでん,Kinden
66,北海道電力,Hokkaido Electric Power
66,DNP,DNP
66,凸版印刷,Toppan Printing
66,KOKUSAI,KOKUSAI ELECTRIC
66,スター精密,Star Micronics
66,ソシオネクスト,Socionext
66,キオクシア,Kioxia
66,住友ベークライト,Sumitomo Bakelite
66,JR西日本,JR West
66,近畿日本鉄道,Kintetsu Railway
66,名古屋鉄道,Meitetsu
66,京急電鉄,Keikyu Corporation
66,共栄タンカー↓,Kyoei Tanker↓
66,デクセリアルズ,Dexerials
66,テルモ,Terumo
66,HOYA↓,HOYA↓
66,日東電工,Nitto Denko
66,東北新社,Tohokushinsha
66,エイベックス,Avex
66,リコー,Ricoh
66,安川電機,Yaskawa Electric
66,サッポロビール,Sapporo Breweries
66,オリエンタルランド,Oriental Land
66,日本工営,Nippon Koei
66,ツムラ,Tsumura
66,日立コンサルティング,Hitachi Consulting
66,トレンドマイクロ,Trend Micro
66,山田コンサルティング↑,Yamada Consulting↑
65,りそな銀行(OP),Resona Bank (OP)
65,新生銀行,Shinsei Bank
65,SMBC日興証券(OP),SMBC Nikko Securities (OP)
65,北陸電力,Hokuriku Electric Power
65,四国電力,Shikoku Electric Power
65,SUBARU,SUBARU
65,マツダ,Mazda
65,三菱自動車↑,Mitsubishi Motors↑
65,トヨタ車体,Toyota Auto Body
65,日本ガイシ,NGK Insulators
65,京セラ,Kyocera
65,レゾナック,Resonac
65,神戸製鋼所,Kobe Steel
65,帝人,Teijin
65,関電工,Kandenko
65,タカラトミー,Takara Tomy
65,コーセー,KOSÉ
65,日立建機,Hitachi Construction Machinery
65,ダイフク,Daifuku
65,三井金属鉱業,Mitsui Mining & Smelting
65,日本触媒,Nippon Shokubai
65,ロート製薬,Rohto Pharmaceutical
65,TOTO,TOTO
65,三菱マテリアル,Mitsubishi Materials
65,関西ペイント,Kansai Paint
65,クラレ,Kuraray
65,カネカ↑,Kaneka↑
65,アズビル,Azbil
65,日本ペイント,Nippon Paint
65,DIC,DIC
65,クレハ,Kureha
65,UBE,UBE
65,アルバック,ULVAC
65,芝浦メカトロニクス,Shibaura Mechatronics
65,東ソー,Tosoh
65,メタウォーター,METAWATER
65,カルビー,Calbee
65,BRサーティワン↑,B-R 31 ICE CREAM↑
65,ダイセル,Daicel
65,ANA(総合職),ANA (General) 
65,LINEヤフー,LINE Yahoo
65,DeNA,DeNA
65,グリー,GREE
65,コクヨ↑,KOKUYO↑
65,三菱鉛筆↑,Mitsubishi Pencil↑
65,JCB,JCB
65,杏林製薬,Kyorin Pharmaceutical
65,持田製薬,Mochida Pharmaceutical
65,大塚商会↑,Otsuka Corporation↑
65,JR九州,JR Kyushu
